strata,variable,estimate,lci,uci,type,group,est_ci,n,stratification,residence
Female,bmi,24.1,24.1,24.2,Continuous,NA,"24.1 (24.1, 24.2)",151231,sex,Urban
Female,age,42.6,42.4,42.7,Continuous,NA,"42.6 (42.4, 42.7)",218587,sex,Urban
Male,bmi,23.8,23.7,24,Continuous,NA,"23.8 (23.7, 24)",22556,sex,Urban
Male,age,45.6,45.5,45.7,Continuous,NA,"45.6 (45.5, 45.7)",198903,sex,Urban
Female,highwc,39.1,38.7,39.4,Proportion,NA,"39.1 (38.7, 39.4)",458647,sex,Rural
Female,htn,23.7,23.5,23.9,Proportion,NA,"23.7 (23.5, 23.9)",670881,sex,Rural
Female,highbp,17.5,17.3,17.6,Proportion,NA,"17.5 (17.3, 17.6)",670881,sex,Rural
Female,diaghtn,39.4,38.8,40.1,Proportion,NA,"39.4 (38.8, 40.1)",74377,sex,Rural
Female,htn_screened,66.8,66.4,67.2,Proportion,NA,"66.8 (66.4, 67.2)",670881,sex,Rural
Female,htn_disease,23.7,23.5,23.9,Proportion,NA,"23.7 (23.5, 23.9)",670881,sex,Rural
Female,htn_diagnosed,10.4,10.2,10.6,Proportion,NA,"10.4 (10.2, 10.6)",670881,sex,Rural
Female,htn_treated,5,4.9,5.1,Proportion,NA,"5 (4.9, 5.1)",670881,sex,Rural
Female,htn_controlled,2.4,2.3,2.4,Proportion,NA,"2.4 (2.3, 2.4)",670881,sex,Rural
Male,highwc,12.9,12.4,13.4,Proportion,NA,"12.9 (12.4, 13.4)",65680,sex,Rural
Male,htn,28.2,27.9,28.5,Proportion,NA,"28.2 (27.9, 28.5)",602665,sex,Rural
Male,highbp,23.9,23.7,24.2,Proportion,NA,"23.9 (23.7, 24.2)",602665,sex,Rural
Male,diaghtn,50,49.2,50.8,Proportion,NA,"50 (49.2, 50.8)",48845,sex,Rural
Male,htn_screened,53.8,53.3,54.2,Proportion,NA,"53.8 (53.3, 54.2)",602665,sex,Rural
Male,htn_disease,28.2,27.9,28.5,Proportion,NA,"28.2 (27.9, 28.5)",602665,sex,Rural
Male,htn_diagnosed,8.7,8.5,8.8,Proportion,NA,"8.7 (8.5, 8.8)",602665,sex,Rural
Male,htn_treated,4.7,4.6,4.8,Proportion,NA,"4.7 (4.6, 4.8)",602665,sex,Rural
Male,htn_controlled,2.1,2,2.1,Proportion,NA,"2.1 (2, 2.1)",602665,sex,Rural
Female,highwc,55.5,54.8,56.2,Proportion,NA,"55.5 (54.8, 56.2)",151274,sex,Urban
Female,htn,30.1,29.7,30.5,Proportion,NA,"30.1 (29.7, 30.5)",218587,sex,Urban
Female,highbp,21.8,21.4,22.2,Proportion,NA,"21.8 (21.4, 22.2)",218587,sex,Urban
Female,diaghtn,46.2,45.1,47.3,Proportion,NA,"46.2 (45.1, 47.3)",32963,sex,Urban
Female,htn_screened,78.4,77.7,79.1,Proportion,NA,"78.4 (77.7, 79.1)",218587,sex,Urban
Female,htn_disease,30.1,29.7,30.5,Proportion,NA,"30.1 (29.7, 30.5)",218587,sex,Urban
Female,htn_diagnosed,15.5,15.2,15.9,Proportion,NA,"15.5 (15.2, 15.9)",218587,sex,Urban
Female,htn_treated,10.5,10.2,10.8,Proportion,NA,"10.5 (10.2, 10.8)",218587,sex,Urban
Female,htn_controlled,5,4.8,5.1,Proportion,NA,"5 (4.8, 5.1)",218587,sex,Urban
Male,highwc,21.1,19.9,22.3,Proportion,NA,"21.1 (19.9, 22.3)",22573,sex,Urban
Male,htn,35.1,34.6,35.6,Proportion,NA,"35.1 (34.6, 35.6)",198903,sex,Urban
Male,highbp,28.7,28.2,29.2,Proportion,NA,"28.7 (28.2, 29.2)",198903,sex,Urban
Male,diaghtn,52.9,51.6,54.2,Proportion,NA,"52.9 (51.6, 54.2)",23137,sex,Urban
Male,htn_screened,68.5,67.8,69.3,Proportion,NA,"68.5 (67.8, 69.3)",198903,sex,Urban
Male,htn_disease,35.1,34.6,35.6,Proportion,NA,"35.1 (34.6, 35.6)",198903,sex,Urban
Male,htn_diagnosed,13.8,13.5,14.2,Proportion,NA,"13.8 (13.5, 14.2)",198903,sex,Urban
Male,htn_treated,9.8,9.5,10.1,Proportion,NA,"9.8 (9.5, 10.1)",198903,sex,Urban
Male,htn_controlled,4.4,4.2,4.6,Proportion,NA,"4.4 (4.2, 4.6)",198903,sex,Urban
Female,age_category,60.4,60.3,60.6,Grouped,18-39,"60.4 (60.3, 60.6)",670881,sex,Rural
Female,age_category,32.9,32.7,33,Grouped,40-64,"32.9 (32.7, 33)",670881,sex,Rural
Female,age_category,6.7,6.7,6.8,Grouped,65 plus,"6.7 (6.7, 6.8)",670881,sex,Rural
Male,age_category,45.9,45.7,46.1,Grouped,18-39,"45.9 (45.7, 46.1)",602665,sex,Rural
